Item,Description,Brand,Packaging,Ship,Weight,Volume,Qty Break,Price
11207102,Whiteleg Shrimp (Kung Foy M) -F-,Asian Best,25x12 OZ,CS,23.00,0.03,0,86.00
,,,,,,,5,83.64
,,,,,,,60,82.99
,,,,,,,120,81.70
11207401,Turmeric -F-,Asian Best,24x4 OZ,CS,7.00,0.01,0,25.50
11207402,Tom Yum Set -F-,Asian Best,24X4.23 OZ,CS,8.00,0.01,0,27.50
11403125,Jasmine Rice (25#),Jasmine,1x25 LBS,BG,25.00,0.02,0,24.75
,,,,,,,50,24.50
,,,,,,,100,24.26
,,,,,,,300,23.64
11403128,Jasmine Rice (25#) New Crop,Jasmine,1x25 LBS,BG,25.00,0.02,0,25.25
,,,,,,,50,25.00
,,,,,,,100,24.75
,,,,,,,300,24.11
11403150,Jasmine Rice (50#),Jasmine,1x50 LBS,BG,50.00,0.03,0,48.50
,,,,,,,25,48.02
,,,,,,,50,47.53
,,,,,,,150,46.32
11403151,Jasmine Rice (5X10#),Jasmine,5x10 LBS,BG,50.00,0.03,0,52.25
11403158,Jasmine Rice (50#) New Crop,Jasmine,1x50 LBS,BG,50.00,0.03,0,49.50
,,,,,,,25,49.01
,,,,,,,50,48.51
,,,,,,,150,47.27
11403325,Asian Best Jasmine Rice (25#),Asian Best,1x25 LBS,BG,25.00,0.02,0,25.00
,,,,,,,50,24.75
,,,,,,,100,24.50
,,,,,,,300,23.88
11403328,Asian Best Jasmine Rice (25#) New Crop,Asian Best,1x25 LBS,BG,25.00,0.02,0,25.50
,,,,,,,50,25.25
,,,,,,,100,24.99
,,,,,,,300,24.35
11403350,Asian Best Jasmine Rice (50#),Asian Best,1x50 LBS,BG,50.00,0.03,0,49.00
,,,,,,,25,48.51
,,,,,,,50,48.02
,,,,,,,150,46.80
11403351,Asian Best Jasmine Rice (10#),Asian Best,5x10 LBS,BG,50.00,0.03,0,52.75
11403358,Asian Best Jasmine Rice (50#) New Crop,Asian Best,1x50 LBS,BG,50.00,0.03,0,50.00
,,,,,,,25,49.50
,,,,,,,50,49.00
,,,,,,,150,47.75
11403365,Asian Best Jasmine Rice (5#),Asian Best,6x5 LBS,CS,32.00,0.02,0,32.25
11403552,Flamenco Jasmine Rice(2#),Flamenco,15x2 LBS,CS,32.00,0.02,0,21.50
,,,,,,,72,21.25
11403565,Flamenco Jasmine Rice (5#),Flamenco,6x5 LBS,CS,32.00,0.02,0,21.00
,,,,,,,70,20.75
11403620,Jasmine Rice Thai Select (5#),Eastern,6x5 LBS,CS,31.00,0.02,0,21.50
11403625,Thai Select Jasmine Rice (25#),Eastern,1x25 LBS,BG,25.00,0.02,0,20.00
,,,,,,,10,19.40
,,,,,,,100,18.80
11403650,Thai Select Jasmine Rice (50#),Eastern,1x50 LBS,BG,50.00,0.04,0,39.00
,,,,,,,5,37.83
,,,,,,,50,36.66
11403651,Vera Jasmine Rice (5X10#),Vera,5x10 LBS,BG,50.00,0.03,0,51.75
,,,,,,,40,51.15
11403652,Vera Jasmine Rice (2#),Vera,15x2 LBS,CS,32.00,0.02,0,32.00
,,,,,,,70,31.71
11403665,Vera Jasmine Rice (6X5#),Vera,6x5 LBS,CS,32.00,0.02,0,31.50
,,,,,,,70,31.22
11403725,Sweet Rice Sanpathong (25#),Three Ring,1x25 LBS,BG,25.00,0.02,0,25.25
,,,,,,,100,24.77
11403750,Sweet Rice Sanpathong (50#),Three Ring,1x50 LBS,BG,50.00,0.03,0,49.50
,,,,,,,50,48.56
11403751,Sweet Rice Sanpatong (5X10#),Three Ring,5x10 LBS,BG,50.00,0.03,0,52.25
11403765,Sweet Rice Sanpatong (6X5#),Three Ring,6x5 LBS,CS,32.00,0.02,0,31.50
11403775,Black Sweet Rice (6X5#),Asian Best,6x5 LBS,CS,32.00,0.03,0,54.25
11403865,Brown Rice  (6X5#),Asian Best,6x5 LBS,CS,32.00,0.03,0,33.25
11403875,Red Rice (6X5#),Asian Best,6x5 LBS,CS,32.00,0.03,0,41.25
11403885,Riceberry Rice (6X5#),Asian Best,6x5 LBS,CS,32.00,0.02,0,47.25
,,,,,,,2,46.64
,,,,,,,5,46.31
,,,,,,,10,45.38
11403925,Rice Bit (25#),Asian Best,1x25 LBS,BG,25.00,0.02,0,20.00
